                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1119,                  2.051,                 1.1004,                      1,                      1,                  0.995,                 0.7237,                 0.9699,                 2.3253,                 0.9285,                0.00026,                0.00026,                0.00026
                      2,                0.96686,                 1.5202,                 1.0901,                0.90495,                      1,                  0.995,                0.72246,                0.99735,                 1.3464,                 1.0777,             0.00051327,             0.00051327,             0.00051327
                      3,                 1.0971,                 1.3127,                 1.2344,                0.90196,                      1,                  0.995,                0.51674,                 1.3766,                 2.4141,                 1.6927,             0.00073882,             0.00073882,             0.00073882
                      4,                 1.1211,                 1.7803,                  1.311,                0.98769,                      1,                  0.995,                0.62327,                 1.2821,                 1.4393,                 1.5901,             0.00093665,             0.00093665,             0.00093665
                      5,                 1.0978,                 1.2651,                 1.2819,                0.96158,                      1,                  0.995,                0.61959,                 1.2126,                 4.7866,                 1.6058,              0.0011068,              0.0011068,              0.0011068
                      6,                 1.0414,                 1.1033,                 1.2251,                0.98623,                0.88889,                  0.918,                0.51253,                 1.4202,                 1.2591,                 1.6308,              0.0012491,              0.0012491,              0.0012491
                      7,                0.96218,                 1.3758,                  1.242,                      1,                0.99936,                  0.995,                0.73757,                  1.048,                 0.9697,                 1.3919,              0.0013638,              0.0013638,              0.0013638
                      8,                 1.1479,                 2.1865,                 1.3304,                0.52533,                0.88889,                0.94324,                0.48572,                 1.4229,                 3.9474,                  1.675,               0.001307,               0.001307,               0.001307
                      9,                 1.0133,                 1.6288,                 1.1861,                0.78832,                      1,                 0.8725,                0.61836,                 1.0476,                 1.6017,                 1.4718,               0.001307,               0.001307,               0.001307
                     10,                 1.3742,                 1.7888,                 1.3835,                0.09426,                0.66667,                0.09407,                0.04341,                 1.6281,                 3.4752,                 1.8338,               0.001208,               0.001208,               0.001208
                     11,                 1.4167,                 2.1757,                  1.483,                      1,                0.72686,                0.78923,                  0.425,                 1.7633,                 1.6938,                 1.9566,               0.001109,               0.001109,               0.001109
                     12,                 1.1887,                 2.8544,                 1.3777,                 0.0156,                      1,                0.01599,                0.01013,                 1.2882,                  401.5,                 1.7231,                0.00101,                0.00101,                0.00101
                     13,                 1.0458,                 1.7698,                 1.4057,                0.99997,                      1,                  0.995,                0.70973,                 1.0935,                 1.5669,                 1.5958,               0.000911,               0.000911,               0.000911
                     14,                 1.1382,                0.95972,                 1.5487,                0.99393,                0.88889,                0.88549,                0.63739,                 1.0925,                0.98816,                 1.5417,               0.000812,               0.000812,               0.000812
                     15,                 1.0891,                0.83257,                 1.4662,                      1,                0.99553,                  0.995,                0.75855,                0.98681,                 0.8476,                  1.385,               0.000713,               0.000713,               0.000713
                     16,                0.99846,                0.71672,                  1.347,                0.97857,                      1,                  0.995,                0.77568,                0.88546,                0.68522,                 1.2709,               0.000614,               0.000614,               0.000614
                     17,                0.95793,                 0.6812,                 1.2642,                0.97262,                      1,                  0.995,                0.77364,                 0.8067,                0.55671,                 1.2064,               0.000515,               0.000515,               0.000515
                     18,                0.86888,                 0.6178,                  1.162,                0.98651,                      1,                  0.995,                0.82619,                0.79181,                0.51581,                 1.1909,               0.000416,               0.000416,               0.000416
                     19,                0.93679,                0.60599,                  1.267,                0.98958,                      1,                  0.995,                0.79661,                0.77734,                0.49455,                 1.1848,               0.000317,               0.000317,               0.000317
                     20,                0.92907,                0.59387,                  1.276,                0.99256,                      1,                  0.995,                0.80069,                 0.7681,                0.46707,                 1.1794,               0.000218,               0.000218,               0.000218
